CIDR,SRC_IP_COUNT,SESSION_COUNT,RULE_COUNT,REVIEW_RULES,ALLOW_RULES,TOP_APPS,TOP_DEST_PORTS,TOP_DEST_PROVIDERS,RECOMMENDATION
10.89.204.0/24,23,1109,95,0,0,quic-base|google-base,443|5228,Google|Fastly|Akamai,Register in all_IP_networks
10.182.17.0/24,1,360,31,0,0,unknown-tcp|quic-base,37560|443,Amazon Web Services|Akamai|Microsoft,Register in all_IP_networks
10.81.74.0/24,19,360,95,0,0,quic-base|unknown-udp|google-base,443|5228,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.38.114.0/24,12,235,38,0,0,quic-base|unknown-udp|google-base,443|5228,Fastly|Google|Microsoft,Register in all_IP_networks
10.38.128.0/24,26,234,83,0,0,quic-base|unknown-udp|google-base|ssl|dtls,443|5228|7100|50034|50098,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.38.144.0/24,22,220,58,0,0,quic-base|google-base|ms-teams-audio-video|unknown-udp,443|5228|50030|50044|50093,"Fastly|Google|Amazon.com, Inc",Register in all_IP_networks
10.38.23.0/24,10,204,45,0,0,quic-base|unknown-udp|google-base|dtls,443|5228|50079|50093|50113,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.38.152.0/24,13,195,42,0,0,quic-base,443,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.81.141.0/24,31,190,71,0,0,quic-base|google-base,443|5228,Google|Akamai|Microsoft,Register in all_IP_networks
10.81.140.0/24,21,185,76,0,0,quic-base|google-base|azure-iot,443|5228|8883,Google|Akamai|Microsoft Azure,Register in all_IP_networks
10.113.64.0/24,2,177,49,0,0,quic-base,443,Google|Akamai|Fastly,Register in all_IP_networks
10.81.128.0/24,15,171,54,0,3,quic-base|google-base|stun,443|5228|3478,Microsoft|Akamai|Google,Register in all_IP_networks
10.38.80.0/24,10,153,42,0,0,quic-base|unknown-udp|google-base,443|1700|5228,Google|Akamai|Fastly,Register in all_IP_networks
10.81.72.0/24,8,150,35,0,0,quic-base|whatsapp-base|google-base,443|5222|5228,Google|Fastly|Meta,Register in all_IP_networks
10.90.115.0/24,14,148,61,0,0,quic-base|ssl|google-base|ipsec-esp-udp,443|5223|5228|4500,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.38.60.0/24,8,134,29,0,0,quic-base|unknown-udp|google-base,443|5228|50084|50000,"Fastly|Google|Amazon.com, Inc",Register in all_IP_networks
10.38.1.0/24,17,134,51,0,0,quic-base|google-base|ms-teams-audio-video|stun,443|5228|50041|50040|50044,Google|Fastly|Akamai,Register in all_IP_networks
10.35.52.0/24,4,132,66,0,0,quic-base|web-browsing,443|55555,Google|Akamai|Cloudflare,Register in all_IP_networks
10.90.140.0/24,21,111,43,0,0,quic-base|google-base,443|5228,Google|Akamai|Microsoft,Register in all_IP_networks
10.38.168.0/24,4,109,36,0,0,quic-base|google-base,443|5228,Google|Akamai|Fastly,Register in all_IP_networks
10.24.160.0/24,3,98,26,7,0,dtls|quic-base|ms-teams-audio-video|unknown-udp|google-base,443|5228|3220|3136|3771,"Amazon.com, Inc|Zscaler|DVOIS-IN D-Vois Broadband Pvt Ltd",URGENT — REVIEW traffic
10.38.56.0/24,18,94,40,0,0,quic-base|google-base,443|5228,Akamai|Google|Microsoft Azure,Register in all_IP_networks
10.38.160.0/24,22,86,37,0,0,quic-base|google-base,443|5228,Google|Akamai|Fastly,Register in all_IP_networks
10.97.253.0/24,8,77,27,0,0,google-base|quic-base,5228|443,Google|Akamai|Microsoft,Register in all_IP_networks
10.113.11.0/24,3,70,8,0,0,quic-base|ms-teams-audio-video|stun,443|61439|11010|38800|38830,"Google|Amazon.com, Inc",Register in all_IP_networks
10.81.73.0/24,3,69,33,0,0,quic-base,443,"Google|Fastly|Amazon.com, Inc",Register in all_IP_networks
10.38.219.0/24,2,67,24,0,0,quic-base|unknown-udp|gmail-base|ssl,443|993|5223,Google|Meta|Cloudflare,Register in all_IP_networks
10.97.247.0/24,4,64,40,0,0,quic-base|dtls,443,Google|Akamai|Microsoft Azure,Register in all_IP_networks
10.38.28.0/24,11,64,31,0,0,quic-base|google-base,443|5228,Google|Akamai|Microsoft,Register in all_IP_networks
10.97.242.0/24,2,62,16,0,0,quic-base|unknown-udp|google-base,443|5228,"Amazon.com, Inc|Google|Cloudflare",Register in all_IP_networks
10.97.241.0/24,2,61,17,0,0,quic-base|dtls|unknown-udp|google-base,443|5228,"Amazon.com, Inc|Zscaler|Google",Register in all_IP_networks
10.38.132.0/24,3,52,11,0,0,quic-base,443,Google|Akamai|Cloudflare,Register in all_IP_networks
10.38.154.0/24,1,48,1,0,0,incomplete|traceroute,49153,"Amazon.com, Inc",Register in all_IP_networks
10.38.24.0/24,3,45,15,0,0,quic-base|google-base,443|5228,Google|Fastly|Akamai,Register in all_IP_networks
10.38.112.0/24,16,43,23,0,0,quic-base|google-base|ssl,443|5228|9573,Google|Akamai|Amazon Web Services,Register in all_IP_networks
10.81.75.0/24,3,43,17,0,0,quic-base|google-base|unknown-udp,443|5228,Google|Fastly,Register in all_IP_networks
10.89.86.0/24,4,43,19,0,0,quic-base|google-base,443|5228,Akamai|Microsoft|Google,Register in all_IP_networks
10.38.104.0/24,8,41,32,0,0,quic-base|whatsapp-base,443|5222,"Google|Amazon.com, Inc|Fastly",Register in all_IP_networks
10.97.12.0/24,4,40,7,2,0,ldap|unknown-udp|quic-base,389|443|50057|50054|50023,"Amazon Web Services|Amazon.com, Inc|Google",URGENT — REVIEW traffic
10.24.143.0/24,2,39,20,0,1,quic-base|stun,443|3478,Google|Amazon Web Services|Akamai,Register in all_IP_networks
10.48.56.0/24,4,38,29,0,0,quic-base|google-base,443|5228,Akamai|Google|Microsoft Azure,Register in all_IP_networks
10.38.156.0/24,4,37,5,0,0,quic-base|ms-teams-audio-video,443|24882|62120|55605,"Google|Cloudflare|Amazon.com, Inc",Register in all_IP_networks
10.48.224.0/24,2,36,2,0,0,quic-base,443,Google,Register in all_IP_networks
10.97.22.0/24,2,33,7,0,0,quic-base|unknown-udp|google-base,443|5228,"Amazon.com, Inc|Google",Register in all_IP_networks
10.38.20.0/24,4,33,15,0,1,quic-base|stun|google-base,443|19302|5228,Google|Fastly|Akamai,Register in all_IP_networks
